********************************************************************************
product = WebSphere Application Server 20.0.0.8 (wlp-1.0.43.cl200820200721-1900)
wlp.install.dir = /opt/ibm/wlp/
server.output.dir = /opt/ibm/wlp/output/defaultServer/
java.home = /opt/ibm/java/jre
java.version = 1.8.0_251
java.runtime = Java(TM) SE Runtime Environment (8.0.6.11 - pxa6480sr6fp11-20200602_01(SR6 FP11))
os = Linux (4.19.76-linuxkit; amd64) (c.u_US)
process = 3576@172.17.0.2
********************************************************************************
[8/4/20 2:50:07:030 UTC] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer has been launched.
[8/4/20 2:50:07:048 UTC] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0100I: This product is licensed for development, and limited production use. The full license terms can be viewed here: https://public.dhe.ibm.com/ibmdl/export/pub/software/websphere/wasdev/license/base_ilan/ilan/20.0.0.8/lafiles/en.html
[8/4/20 2:50:07:579 UTC] 00000020 com.ibm.ws.config.xml.internal.ServerXMLConfiguration        A CWWKG0093A: Processing configuration drop-ins resource: /opt/ibm/wlp/usr/servers/defaultServer/configDropins/defaults/keystore.xml
[8/4/20 2:50:07:623 UTC] 00000020 com.ibm.ws.config.xml.internal.ServerXMLConfiguration        A CWWKG0093A: Processing configuration drop-ins resource: /opt/ibm/wlp/usr/servers/defaultServer/configDropins/overrides/daytrader.xml
[8/4/20 2:50:07:629 UTC] 00000020 com.ibm.ws.config.xml.internal.ServerXMLConfiguration        A CWWKG0093A: Processing configuration drop-ins resource: /opt/ibm/wlp/usr/servers/defaultServer/configDropins/overrides/daytrader7logging.xml
[8/4/20 2:50:07:649 UTC] 00000027 com.ibm.ws.logging.internal.TraceSpecification               I TRAS3001I: The following messages are hidden from the console.log and messages.log files: [CNTR0333W, CNTR0019E, CWWJP9991W]
[8/4/20 2:50:07:741 UTC] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 0.901 seconds
[8/4/20 2:50:07:822 UTC] 0000002b com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[8/4/20 2:50:08:026 UTC] 0000001f com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0007I: The security service is starting...
[8/4/20 2:50:08:174 UTC] 00000021 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.
[8/4/20 2:50:08:418 UTC] 00000021 com.ibm.ws.cache.ServerCache                                 I DYNA1001I: WebSphere Dynamic Cache instance named baseCache initialized successfully.
[8/4/20 2:50:08:419 UTC] 00000021 com.ibm.ws.cache.ServerCache                                 I DYNA1071I: The cache provider default is being used.
[8/4/20 2:50:08:420 UTC] 00000021 com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: Dynamic Cache (object cache) initialized successfully.
[8/4/20 2:50:08:630 UTC] 0000001f ibm.ws.security.authentication.internal.jaas.JAASServiceImpl I CWWKS1123I: The collective authentication plugin with class name NullCollectiveAuthenticationPlugin has been activated. 
[8/4/20 2:50:08:755 UTC] 00000037 com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0008I: The security service is ready.
[8/4/20 2:50:08:756 UTC] 00000037 com.ibm.ws.security.token.ltpa.internal.LTPAKeyCreateTask    I CWWKS4105I: LTPA configuration is ready after 0.142 seconds.
[8/4/20 2:50:09:181 UTC] 00000027 com.ibm.ws.ssl.config.WSKeyStore                             I Successfully loaded default keystore: /opt/ibm/wlp/output/defaultServer/resources/security/key.p12 of type: PKCS12
[8/4/20 2:50:09:258 UTC] 0000001f com.ibm.ws.sib.utils.ras.SibMessage                          I  CWSID0108I: JMS server has started.  
[8/4/20 2:50:09:338 UTC] 0000001f com.ibm.ws.security.wim.VMMService                           I CWIMK0009I: The user registry federation service is ready.
[8/4/20 2:50:09:820 UTC] 00000023 com.ibm.ws.transport.iiop.internal.ORBWrapperInternal        A CWWKI0001I: The CORBA name server is now available at corbaloc:iiop:localhost:2809/NameService.
[8/4/20 2:50:10:059 UTC] 0000004b com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application daytrader.
[8/4/20 2:50:10:059 UTC] 0000002e com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application swat.
